Tracker,Model,idf1_mean,idp_mean,idr_mean,recall_mean,precision_mean,num_unique_objects_mean,mostly_tracked_mean,partially_tracked_mean,mostly_lost_mean,num_false_positives_mean,num_misses_mean,num_switches_mean,num_fragmentations_mean,mota_mean,motp_mean,num_transfer_mean,num_ascend_mean,num_migrate_mean,idf1_std,idp_std,idr_std,recall_std,precision_std,num_unique_objects_std,mostly_tracked_std,partially_tracked_std,mostly_lost_std,num_false_positives_std,num_misses_std,num_switches_std,num_fragmentations_std,mota_std,motp_std,num_transfer_std,num_ascend_std,num_migrate_std,mean_speed,std_speed
ByteTracker,yolov8x-seg,0.6012301570030046,0.579105060932411,0.6310425513844884,0.901375445887972,0.823773762649409,12.73913043478261,11.043478260869565,1.391304347826087,0.3043478260869565,1363.4782608695652,668.8695652173913,429.9565217391304,186.6086956521739,0.6515695320893038,0.2825293664904166,352.8260869565217,19.217391304347824,0.3043478260869565,0.2143214330477788,0.211834098315864,0.2210357932995124,0.1392858618465636,0.1335838194618106,8.291383212294708,7.8478616709473235,1.698639306642569,0.4704719688969648,1172.790645099628,731.170748889492,1586.460138405938,180.4813611959153,0.2899652293500226,0.0788412283528435,1583.5364235605955,16.67866498292499,0.926124996899135,0.3255,0.0124
OCsort,yolov8x-seg,0.6521666511919672,0.7875278232540045,0.5836134290994854,0.7298051937674106,0.9816277160641652,12.73913043478261,8.26086956521739,3.1739130434782608,1.3043478260869563,73.17391304347827,1887.6521739130435,346.1304347826087,201.8695652173913,0.6807542778130652,0.195997143523053,321.6521739130435,11.91304347826087,0.3043478260869565,0.2315889326124598,0.2175781703018692,0.2439804554479479,0.2216916508095926,0.0297504740733141,8.291383212294708,6.777082982739751,2.757669864759731,1.362977442909978,92.60652449717912,1936.3714333937176,1522.2206656528847,142.9988252805615,0.2351383704359856,0.0682070849329613,1517.3135532816978,10.908349777196367,0.8756702684071968,0.3341,0.0099
SORT,yolov8x-seg,0.5447851074227938,0.591864101528141,0.5158477718082171,0.8236780034767983,0.9504550796900312,12.73913043478261,9.695652173913045,2.130434782608696,0.9130434782608696,223.6086956521739,1192.6521739130435,383.82608695652175,148.08695652173913,0.7435214315606818,0.2137743499342269,329.39130434782606,51.130434782608695,0.1739130434782608,0.2519433995975573,0.2493395594391305,0.2553486545159016,0.1817123388415932,0.0530255823876091,8.291383212294708,7.289062682033177,2.1384860368130227,1.083472677771923,226.6614895169436,1273.4526656690482,1561.813475423941,112.62080909102104,0.2182256828059081,0.0727916128593035,1560.5297975405206,44.55568971709458,0.8340576562282991,0.3335,0.0098
WildTracker,yolov8x-seg,0.6809630576459484,0.627262167098389,0.7833930667026672,0.8930130957092554,0.7048138626648005,13.157894736842104,10.421052631578949,1.5789473684210529,1.1578947368421053,3508.4210526315787,705.5263157894736,405.3684210526316,26.73684210526316,0.4133144891063841,0.2273818671997697,397.10526315789474,5.421052631578948,0.6842105263157895,0.2092650888995566,0.2158701845400628,0.2240255217281698,0.1675643814081606,0.1602131612261677,8.1121524605902,6.743851433991016,1.6437014284732228,1.11868761873192,2958.65630754889,623.6854948539593,1728.9565964131957,56.6959160838309,0.4297979468576389,0.0799947831015148,1718.110004715674,4.451164510223816,1.416279616889396,4.7909,2.4873
ByteTracker,yolov8l-seg,0.6269636661314482,0.607836400724161,0.6562017968904797,0.8916399729172901,0.8281594034509302,12.73913043478261,11.08695652173913,1.2173913043478262,0.4347826086956521,1532.3478260869565,725.6521739130435,447.3478260869565,196.34782608695653,0.6569249209425738,0.282348804320728,350.69565217391306,20.30434782608696,0.2608695652173913,0.2073118509267476,0.1912723681067849,0.2279180513549362,0.1590038517551102,0.0985064453731777,8.291383212294708,7.815561653046386,1.7826568970635437,0.787752092782872,1432.164369968997,990.6776197356328,1585.995747119589,193.78305787087413,0.2390510527464752,0.0784825231888183,1579.7685801402747,17.2216427856681,1.0538842141140996,0.4118,0.0201
OCsort,yolov8l-seg,0.6598184855071024,0.8123112320831646,0.5853740428881565,0.7170224381121212,0.984012998553143,12.73913043478261,8.478260869565217,2.782608695652174,1.4782608695652173,59.47826086956522,2002.3478260869565,351.1304347826087,212.91304347826087,0.6708108177010634,0.1974620178019382,325.5217391304348,12.521739130434783,0.3043478260869565,0.2282480245103465,0.2064355960902398,0.2371532616291985,0.2273723600751718,0.0274218116622979,8.291383212294708,6.563463368024477,2.521841349979495,1.7021260827509306,88.00922966330779,2081.889626990905,1532.289947174959,163.04765422847123,0.2402212087001814,0.0638397821623639,1528.6876091354018,10.58673941227417,0.7029019463944166,0.4264,0.0164
SORT,yolov8l-seg,0.5615016593970477,0.6237939869546598,0.5279493720548286,0.814807456765628,0.966257298038666,12.73913043478261,9.826086956521738,2.0869565217391304,0.8260869565217391,218.0,1263.3478260869565,382.1739130434783,156.1304347826087,0.7455007465899889,0.2107511400307296,329.7391304347826,49.04347826086956,0.1739130434782608,0.2278067829735809,0.2263545014459692,0.2362755931071578,0.1925170853031703,0.0327405195461404,8.291383212294708,7.32773172092927,2.172410547970343,1.1541298931561732,247.75923063255655,1489.574179809166,1563.8971325207804,119.43971638363166,0.2153888116505523,0.0685201867711083,1563.282857479771,36.581761800693634,0.8340576562282991,0.4292,0.016
WildTracker,yolov8l-seg,0.7069396251263756,0.6393597489661546,0.8160025424290772,0.90518070883651,0.7093829835668369,13.272727272727272,10.772727272727272,1.4545454545454546,1.0454545454545454,3967.4545454545455,662.7272727272727,344.8181818181818,20.59090909090909,0.4533012641193071,0.227052155835651,338.0,4.909090909090909,0.6363636363636364,0.1852921831016471,0.1923361286257865,0.2051189414875289,0.1410575967521585,0.1495398089439876,8.072185153982357,6.893280497507411,1.792239161529848,1.0455015987905485,3887.446177575939,673.3004835328288,1585.6355684217467,64.66960652932727,0.3417567590452729,0.0882588423140406,1576.4278788269564,4.241620208286214,1.5289415743128767,5.2896,2.9065
ByteTracker,yolov8m-seg,0.5847446712669142,0.5897834073175349,0.5908493803946386,0.8453699437558128,0.837521165185732,12.73913043478261,10.73913043478261,1.2608695652173914,0.7391304347826086,1027.4782608695652,896.0434782608696,445.1304347826087,238.6086956521739,0.6455003984069582,0.2924677711078678,356.0434782608696,19.608695652173918,0.3043478260869565,0.242749089742269,0.2289000119026444,0.2591938889043144,0.2287073684832751,0.1678217786810403,8.291383212294708,7.932770874980614,1.9121000188832795,1.1368773542370676,967.034542466871,1060.5476063319566,1560.910232825934,207.57533991091148,0.3181102196026271,0.0991391754573378,1555.0288649253391,16.96718525548864,0.8756702684071968,0.5279,0.0339
OCsort,yolov8m-seg,0.5896873117206806,0.7584835308005471,0.5232285713478487,0.6574702404716175,0.9815626982948994,12.73913043478261,7.695652173913044,3.4782608695652173,1.565217391304348,35.52173913043478,2188.9565217391305,330.0,242.0,0.6149651586762561,0.1965264728227005,304.8260869565217,12.565217391304348,0.391304347826087,0.2903944683626604,0.2223725621409215,0.2962353058191689,0.2838060316544136,0.0339063103486395,8.291383212294708,6.704372946129303,3.8478986616947095,1.804693047597688,44.86836257848405,2077.4804993781395,1435.2802703811733,197.7831686928436,0.2926601394052463,0.0633541335534466,1427.481209943964,9.548089227962752,0.9409439377939294,0.5518,0.0251
